MONTH_NAME,STATE,EVENT_TYPE,count(EVENT_ID)
April,SOUTH DAKOTA,Winter Weather,38
April,TEXAS,Winter Storm,16
April,NORTH DAKOTA,Flood,79
April,ILLINOIS,Frost/Freeze,341
April,ALABAMA,Hail,452
April,INDIANA,Heavy Rain,8
April,PENNSYLVANIA,Strong Wind,41
April,ATLANTIC NORTH,Marine Thunderstorm Wind,240
April,NEVADA,High Wind,113
April,MINNESOTA,Hail,136
April,WISCONSIN,Winter Weather,16
April,COLORADO,Tornado,51
April,SOUTH DAKOTA,Flash Flood,4
April,NEW HAMPSHIRE,Heavy Snow,33
April,MISSOURI,Strong Wind,25
April,GEORGIA,Strong Wind,21
April,ALABAMA,Flood,7
April,WISCONSIN,Funnel Cloud,7
April,COLORADO,Frost/Freeze,30
April,IOWA,Drought,20
April,CALIFORNIA,Drought,11
April,MONTANA,High Wind,113
April,WYOMING,Winter Weather,22
April,RHODE ISLAND,High Wind,5
April,INDIANA,Thunderstorm Wind,229
April,TEXAS,Wildfire,141
April,NORTH CAROLINA,Tornado,82
April,NEW JERSEY,Flood,43
April,MONTANA,Hail,5
April,GEORGIA,High Wind,22
April,KANSAS,Cold/Wind Chill,23
April,RHODE ISLAND,Coastal Flood,12
April,MONTANA,Winter Storm,202
April,OKLAHOMA,Thunderstorm Wind,305
April,CALIFORNIA,Heavy Snow,37
April,ALASKA,Blizzard,50
April,LOUISIANA,Heavy Rain,8
April,MASSACHUSETTS,Strong Wind,14
April,NEW JERSEY,Coastal Flood,31
April,ALASKA,Flood,6
April,TEXAS,Winter Weather,68
April,NORTH CAROLINA,Strong Wind,65
April,SOUTH CAROLINA,Frost/Freeze,25
April,NEW JERSEY,High Surf,6
April,GEORGIA,Tornado,101
April,NORTH CAROLINA,Flood,5
April,DELAWARE,Drought,8
April,MISSISSIPPI,Flash Flood,74
April,OKLAHOMA,Tornado,164
April,WISCONSIN,Flash Flood,6
April,CONNECTICUT,Strong Wind,5
April,TEXAS,Flash Flood,236
April,NORTH DAKOTA,High Wind,18
April,ARKANSAS,Frost/Freeze,239
April,CALIFORNIA,Thunderstorm Wind,7
April,OHIO,Thunderstorm Wind,205
April,OKLAHOMA,Hail,1243
April,MISSOURI,Lightning,8
April,INDIANA,Funnel Cloud,4
April,KANSAS,Drought,49
April,CALIFORNIA,Wildfire,7
April,ARKANSAS,Hail,745
April,MAINE,Flood,74
April,LOUISIANA,Lightning,11
April,NEW YORK,Winter Storm,53
April,NEW MEXICO,Drought,141
April,MONTANA,Flood,15
April,MAINE,High Wind,29
April,ARKANSAS,Flash Flood,168
April,SOUTH CAROLINA,Flood,4
April,VERMONT,Frost/Freeze,17
April,KENTUCKY,Funnel Cloud,32
April,TEXAS,Frost/Freeze,22
