MONTH_NAME,EVENT_TYPE,count(EVENT_ID)
April,Heavy Rain,486
April,Marine Strong Wind,14
April,Avalanche,17
April,Waterspout,63
April,Strong Wind,888
April,High Wind,2441
April,Winter Storm,1880
April,Landslide,37
April,Wildfire,306
April,Astronomical Low Tide,4
April,Flash Flood,1687
April,Funnel Cloud,305
April,Hail,13531
April,High Surf,249
April,Tornado,2182
April,Dense Fog,94
April,Dust Storm,48
April,Coastal Flood,156
April,Thunderstorm Wind,8418
April,Winter Weather,767
April,Blizzard,272
April,Marine Hail,25
April,Ice Storm,32
April,Heavy Snow,819
April,Lake-Effect Snow,21
April,Heat,13
April,Lightning,278
April,Frost/Freeze,2986
April,Marine Thunderstorm Wind,723
April,Drought,1773
April,Extreme Cold/Wind Chill,20
April,Cold/Wind Chill,182
April,Rip Current,33
April,Marine High Wind,22
April,Flood,2027
April,Dust Devil,18
April,Lakeshore Flood,16
April,Marine Thunderstorm Wind,577
April,Flash Flood,2068
April,Lightning,513
April,High Surf,189
April,Extreme Cold/Wind Chill,152
April,Coastal Flood,21
April,Volcanic Ash,5
April,WINTER WEATHER,243
April,Tornado,1913
April,Winter Weather,222
April,Avalanche,21
April,Thunderstorm Wind,9723
April,High Wind,4439
April,Excessive Heat,51
April,Flood,2402
April,Ice Storm,200
April,Heat,142
April,Hail,21699
April,Waterspout,112
April,Wildfire,196
April,Strong Wind,661
April,Winter Storm,1487
April,Dust Devil,25
April,Blizzard,401
April,Marine Hail,18
April,Funnel Cloud,353
April,Frost/Freeze,308
April,Dense Fog,73
April,Debris Flow,41
April,Heavy Snow,1838
April,Drought,1213
April,Cold/Wind Chill,216
April,Storm Surge/Tide,47
April,Dust Storm,24
April,Rip Current,39
April,Heavy Rain,381
August,Marine High Wind,18
August,Hurricane,13
August,Tornado,478
August,Marine Strong Wind,5
August,Thunderstorm Wind,15971
August,Storm Surge/Tide,103
August,Tropical Storm,660
August,Hail,8907
August,Waterspout,253
August,Heat,1595
August,Dust Storm,34
August,High Surf,115
August,Excessive Heat,1709
August,Wildfire,404
August,Marine Thunderstorm Wind,1267
August,Flash Flood,3841
August,Landslide,32
August,Lightning,935
August,Tropical Depression,163
August,Dense Fog,203
August,Frost/Freeze,10
August,Hurricane (Typhoon),44
August,Drought,2911
August,Debris Flow,18
August,Heavy Rain,1105
August,Marine Hail,45
August,Dust Devil,11
August,Funnel Cloud,298
August,Strong Wind,113
August,Coastal Flood,17
August,Dense Smoke,5
August,High Wind,119
August,Flood,1193
August,Rip Current,77
August,Wildfire,472
August,Debris Flow,28
August,Strong Wind,120
August,Marine Hail,33
August,Tropical Storm,279
August,Extreme Cold/Wind Chill,14
August,Frost/Freeze,18
August,Dust Devil,9
August,Tornado,974
August,Heat,2716
August,Flash Flood,4278
August,Flood,968
August,Funnel Cloud,434
August,Cold/Wind Chill,76
August,Rip Current,64
August,Marine Thunderstorm Wind,827
August,Dust Storm,47
August,Storm Surge/Tide,37
August,High Wind,339
August,Hail,12022
August,Hurricane (Typhoon),368
August,Heavy Rain,837
August,Dense Fog,132
August,Coastal Flood,16
August,Thunderstorm Wind,18080
August,High Surf,128
August,Lightning,2002
August,Waterspout,464
August,Drought,2857
December,High Surf,291
December,Flood,795
December,Lightning,27
December,Blizzard,1864
December,Wildfire,39
December,Heavy Rain,386
December,Frost/Freeze,287
December,Dense Fog,793
December,High Wind,2840
December,Rip Current,5
December,Cold/Wind Chill,344
December,Extreme Cold/Wind Chill,473
December,Storm Surge/Tide,9
December,Winter Storm,4921
December,Drought,1931
December,Debris Flow,11
December,Coastal Flood,116
December,Tornado,243
December,Dust Storm,16
December,Thunderstorm Wind,1351
December,Marine Strong Wind,5
December,Heavy Snow,3770
December,Flash Flood,516
December,Landslide,42
December,Waterspout,24
December,Astronomical Low Tide,61
December,Ice Storm,1041
December,Seiche,5
December,Sleet,15
December,Hail,256
December,Funnel Cloud,30
December,Strong Wind,1568
December,Freezing Fog,56
December,Avalanche,49
December,Winter Weather,5708
December,Lake-Effect Snow,284
December,Marine Thunderstorm Wind,224
December,Marine High Wind,4
December,Frost/Freeze,173
December,Strong Wind,979
December,Marine Thunderstorm Wind,176
December,Tornado,265
December,Storm Surge/Tide,80
December,Avalanche,32
December,WINTER WEATHER,1231
December,Freezing Fog,117
December,High Wind,3630
December,Wildfire,42
December,Debris Flow,27
December,Winter Storm,6013
December,Hail,947
December,Extreme Cold/Wind Chill,730
December,Rip Current,10
December,Dust Storm,5
December,Heavy Snow,6343
December,Lightning,50
December,Blizzard,824
December,Thunderstorm Wind,1128
December,High Surf,441
December,Flood,934
December,Winter Weather,1363
December,Dense Fog,872
December,Heat,568
December,Hurricane (Typhoon),9
December,Ice Storm,1803
December,Cold/Wind Chill,902
December,Flash Flood,866
December,Waterspout,32
December,Marine High Wind,6
December,Heavy Rain,458
December,Drought,1162
December,Coastal Flood,113
December,Funnel Cloud,45
December,Sleet,49
December,Lake-Effect Snow,87
February,Sleet,56
February,Drought,1696
February,Freezing Fog,17
February,Waterspout,31
February,Cold/Wind Chill,532
February,High Wind,2927
February,Blizzard,1245
February,Lake-Effect Snow,193
February,Landslide,9
February,Coastal Flood,35
February,Dense Fog,413
February,Rip Current,7
February,Frost/Freeze,229
February,Tornado,509
February,Flash Flood,388
February,Astronomical Low Tide,116
February,Heavy Rain,175
February,Strong Wind,1008
February,Ice Storm,774
February,Thunderstorm Wind,2943
February,Winter Weather,6175
February,Marine High Wind,12
February,High Surf,380
February,Tsunami,8
February,Lightning,91
February,Extreme Cold/Wind Chill,1232
February,Hail,1893
February,Funnel Cloud,45
February,Wildfire,153
February,Marine Thunderstorm Wind,332
February,Dust Storm,34
February,Avalanche,48
February,Flood,721
February,Heavy Snow,4334
February,Winter Storm,5957
February,WINTER WEATHER,1697
February,Heavy Snow,5452
February,Ice Storm,926
February,Flood,1768
February,Marine Thunderstorm Wind,168
February,High Wind,3836
February,Rip Current,19
February,Heavy Rain,568
February,Blizzard,562
February,Thunderstorm Wind,2717
February,Dust Storm,56
February,Lake-Effect Snow,27
February,Storm Surge/Tide,64
February,Coastal Flood,84
February,Heat,501
February,Lightning,112
February,Hail,2203
February,Frost/Freeze,99
February,Avalanche,65
February,High Surf,449
February,Flash Flood,1365
February,Cold/Wind Chill,1693
February,Strong Wind,1102
February,Waterspout,62
February,Extreme Cold/Wind Chill,206
February,Drought,848
February,Winter Storm,6177
February,Tornado,306
February,Winter Weather,1342
February,Excessive Heat,156
February,Dense Fog,783
February,Funnel Cloud,68
February,Wildfire,81
February,Debris Flow,27
February,Sleet,100
January,Winter Storm,4229
January,Heavy Snow,4089
January,Flood,816
January,Flash Flood,797
January,Avalanche,55
January,Coastal Flood,33
January,Freezing Fog,62
January,Sleet,47
January,Heavy Rain,210
January,Drought,1843
January,Cold/Wind Chill,1082
January,Lake-Effect Snow,509
January,Strong Wind,968
January,Funnel Cloud,64
January,Frost/Freeze,422
January,Marine Thunderstorm Wind,282
January,Wildfire,105
January,Landslide,50
January,Dense Smoke,4
January,Extreme Cold/Wind Chill,1522
January,Dense Fog,602
January,Rip Current,8
January,Debris Flow,6
January,Waterspout,29
January,Hail,683
January,Marine High Wind,19
January,Tropical Storm,4
January,Seiche,9
January,Tornado,362
January,Thunderstorm Wind,2175
January,Dust Storm,12
January,High Wind,2757
January,Winter Weather,7057
January,Ice Storm,1074
January,High Surf,435
January,Blizzard,750
January,Astronomical Low Tide,59
January,Marine Strong Wind,6
January,Lightning,41
January,Dust Storm,5
January,Tornado,509
January,Frost/Freeze,313
January,Avalanche,49
January,Freezing Fog,13
January,Wildfire,68
January,Flash Flood,2000
January,Excessive Heat,193
January,Storm Surge/Tide,97
January,Lake-Effect Snow,40
January,Extreme Cold/Wind Chill,942
January,Hurricane (Typhoon),8
January,Hail,1617
January,Strong Wind,725
January,Rip Current,16
January,Drought,691
January,High Wind,3500
January,Heavy Snow,8185
January,Blizzard,1746
January,Waterspout,48
January,Heat,506
January,Winter Storm,10226
January,Marine Thunderstorm Wind,134
January,Ice Storm,2529
January,Funnel Cloud,75
January,Cold/Wind Chill,3512
January,Dense Fog,1131
January,Sleet,166
January,Lightning,107
